time	thermal load (kW)	electrical load (kW)	solar (kW)	COP	import price ($/kWh)	export price ($/kWh)	demand price ($/kW)	lambda	mode	compressor power (kW)	grid (kW)	stored thermal energy (kWh)	heat to store (kW)
2017-10-25 03:00:00	104.831	135.848	0.000	4.626	0.119	0.063	1.05e-2	-0.6172139498122853	DemandCharge	0.119	135.967	2027.860	104.280
2017-10-25 03:30:00	160.856	84.719	0.000	4.695	0.121	0.065	1.05e-2	-0.389924694887225	DemandCharge	34.261	118.981	2080.000	0.000
2017-10-25 04:00:00	121.342	96.803	0.000	4.755	0.121	0.065	1.05e-2	-0.389924694887225	DemandCharge	25.517	122.320	2080.000	0.000
2017-10-25 04:30:00	146.493	72.102	0.000	4.806	0.112	0.057	1.05e-2	-0.389924694887225	DemandCharge	30.480	102.582	2080.000	0.000
2017-10-25 05:00:00	148.633	75.315	0.383	4.847	0.125	0.068	1.05e-2	-0.389924694887225	DemandCharge	30.667	105.599	2080.000	0.000
2017-10-25 05:30:00	116.415	114.725	8.882	4.876	0.120	0.064	1.05e-2	-0.389924694887225	DemandCharge	23.874	129.718	2080.000	0.000
2017-10-25 06:00:00	182.660	62.775	32.750	4.894	0.152	0.091	1.05e-2	-0.389924694887225	DemandCharge	60.846	90.871	2080.000	-115.123
2017-10-25 06:30:00	193.018	56.397	60.068	4.900	0.151	0.091	1.05e-2	-0.389924694887225	DemandCharge	94.653	90.982	2022.439	-270.782
2017-10-25 07:00:00	227.683	75.181	87.686	4.894	0.152	0.092	1.05e-2	-0.389924694887225	DemandCharge	103.377	90.871	1887.047	-278.245
2017-10-25 07:30:00	265.806	76.213	114.886	4.876	0.152	0.092	1.05e-2	-0.389924694887225	DemandCharge	129.212	90.540	1747.925	-364.252
2017-10-25 08:00:00	288.286	83.942	141.674	4.847	0.155	0.094	1.05e-2	-0.389924694887225	DemandCharge	142.011	84.280	1565.799	-400.000
2017-10-25 08:30:00	243.524	164.241	167.907	4.806	0.154	0.093	1.05e-2	-0.389924694887225	DemandCharge	92.907	89.241	1365.799	-203.006
2017-10-25 09:00:00	344.733	133.441	192.024	4.755	0.138	0.079	1.05e-2	-0.389924694887225	DemandCharge	146.879	88.297	1264.296	-353.730
2017-10-25 09:30:00	329.898	118.409	193.867	4.695	0.129	0.072	1.05e-2	-0.389924694887225	DemandCharge	155.000	79.541	1087.431	-397.823
2017-10-25 10:00:00	346.906	144.512	225.108	4.626	0.110	0.055	1.05e-2	-0.389924694887225	DemandCharge	155.000	74.404	888.519	-370.144
2017-10-25 10:30:00	327.634	137.990	212.215	4.550	0.116	0.061	1.05e-2	-0.389924694887225	DemandCharge	155.000	80.775	703.447	-377.616
2017-10-25 11:00:00	456.843	153.276	218.582	4.468	0.116	0.060	1.05e-2	-0.389924694887225	DemandCharge	148.264	82.959	514.639	-205.585
2017-10-25 11:30:00	402.286	143.028	231.032	4.381	0.116	0.061	1.05e-2	-0.389924694887225	DemandCharge	155.000	66.996	411.846	-276.795
2017-10-25 12:00:00	273.120	151.809	241.242	4.291	0.114	0.059	1.05e-2	-0.389924694887225	DemandCharge	155.000	65.567	273.449	-392.042
2017-10-25 12:30:00	252.190	232.778	230.418	4.200	0.112	0.057	1.05e-2	-0.389924694887225	DemandCharge	75.624	77.985	77.428	-65.431
2017-10-25 13:00:00	344.471	143.874	198.492	4.109	0.113	0.058	2.047941176470588e-2	-0.389924694887225	DemandCharge	93.732	39.114	44.712	-40.637
2017-10-25 13:30:00	398.930	143.172	201.805	4.019	0.111	0.057	2.047941176470588e-2	-0.389924694887225	DemandCharge	96.892	38.259	24.393	9.536
2017-10-25 14:00:00	561.587	54.116	187.375	3.932	0.108	0.054	2.047941176470588e-2	-0.389924694887225	DemandCharge	155.000	21.741	29.161	-47.892
2017-10-25 14:30:00	586.320	67.673	190.064	3.850	0.105	0.051	2.047941176470588e-2	-0.389924694887225	DemandCharge	155.000	32.609	5.215	-10.430
2017-10-25 15:00:00	621.727	118.146	109.050	3.774	0.117	0.061	2.047941176470588e-2	-1.3978165514044292	DemandCharge	119.697	128.792	0.000	170.007
2017-10-25 15:30:00	601.831	136.312	84.902	3.705	0.125	0.068	2.047941176470588e-2	-1.3978165514044292	DemandCharge	75.032	126.443	85.003	323.835
2017-10-25 16:00:00	524.176	202.544	96.473	3.645	0.121	0.065	2.047941176470588e-2	-1.3978165514044292	DemandCharge	34.071	140.142	246.921	400.000
2017-10-25 16:30:00	569.160	203.974	85.702	3.594	0.128	0.071	2.047941176470588e-2	-1.3978165514044292	DemandCharge	47.070	165.342	446.921	400.000
2017-10-25 17:00:00	559.930	192.482	24.513	3.553	0.129	0.072	2.047941176470588e-2	-1.3978165514044292	DemandCharge	45.009	212.978	646.921	400.000
2017-10-25 17:30:00	532.049	146.321	14.122	3.524	0.136	0.078	2.047941176470588e-2	-1.3978165514044292	DemandCharge	37.473	169.672	846.921	400.000
2017-10-25 18:00:00	418.297	200.376	6.330	3.506	0.138	0.079	2.047941176470588e-2	-1.3978165514044292	DemandCharge	5.219	199.264	1046.921	400.000
2017-10-25 18:30:00	358.634	224.569	0.678	3.500	0.140	0.081	2.047941176470588e-2	-1.3978165514044292	DemandCharge	0.000	223.891	1246.921	358.634
2017-10-25 19:00:00	344.611	214.369	0.000	3.506	0.155	0.094	2.047941176470588e-2	-1.3978165514044292	DemandCharge	0.000	214.369	1426.238	344.611
2017-10-25 19:30:00	136.590	222.795	0.000	3.524	0.156	0.095	2.047941176470588e-2	-1.3978165514044292	DemandCharge	0.000	222.795	1598.543	136.590
2017-10-25 20:00:00	378.077	150.625	0.000	3.553	0.144	0.085	2.047941176470588e-2	-1.3978165514044292	DemandCharge	0.000	150.625	1666.839	378.077
2017-10-25 20:30:00	202.458	185.888	0.000	3.594	0.144	0.085	2.047941176470588e-2	-1.3978165514044292	DemandCharge	0.000	185.888	1855.877	202.458
2017-10-25 21:00:00	263.412	119.547	0.000	3.645	0.135	0.077	2.047941176470588e-2	-1.3978165514044292	DemandCharge	4.836	124.382	1957.106	245.788
2017-10-25 21:30:00	142.184	188.445	0.000	3.705	0.140	0.081	1.05e-2	-1.057656744898111	DemandCharge	38.376	226.821	2080.000	0.000
2017-10-25 22:00:00	341.789	86.624	0.000	3.774	0.151	0.091	1.05e-2	-1.057656744898111	DemandCharge	103.446	190.069	2080.000	-48.601
2017-10-25 22:30:00	283.580	128.649	0.000	3.850	0.135	0.077	1.05e-2	-1.057656744898111	DemandCharge	65.255	193.904	2055.700	32.349
2017-10-25 23:00:00	230.018	134.458	0.000	3.932	0.131	0.073	1.05e-2	-1.057656744898111	DemandCharge	63.582	198.040	2071.874	-19.993
2017-10-25 23:30:00	269.807	143.494	0.000	4.019	0.133	0.076	1.05e-2	-1.057656744898111	DemandCharge	58.913	202.407	2061.878	33.047
2017-10-26 00:00:00	256.113	145.373	0.000	4.109	0.170	0.107	1.05e-2	-1.057656744898111	DemandCharge	61.557	206.930	2078.401	3.198
2017-10-26 00:30:00	253.508	146.091	0.000	4.200	0.135	0.076	1.05e-2	-0.7694226322079365	DemandCharge	60.359	206.450	2080.000	0.000
2017-10-26 01:00:00	220.160	128.970	0.000	4.291	0.134	0.076	1.05e-2	-0.7694226322079365	DemandCharge	51.303	180.273	2080.000	0.000
2017-10-26 01:30:00	195.524	160.318	0.000	4.381	0.132	0.074	1.05e-2	-0.7694226322079365	DemandCharge	44.628	204.946	2080.000	0.000
2017-10-26 02:00:00	176.610	134.137	0.000	4.468	0.127	0.070	1.05e-2	-0.7694226322079365	DemandCharge	39.529	173.666	2080.000	0.000
2017-10-26 02:30:00	101.581	162.763	0.000	4.550	0.122	0.065	1.05e-2	-0.7694226322079365	DemandCharge	22.325	185.088	2080.000	0.000
2017-10-26 03:00:00	199.607	109.231	0.000	4.626	0.121	0.065	1.05e-2	-0.7694226322079365	DemandCharge	60.267	169.498	2080.000	-79.197
2017-10-26 03:30:00	193.370	147.702	0.000	4.695	0.121	0.065	1.05e-2	-0.7694226322079365	DemandCharge	24.318	172.020	2040.402	79.197
2017-10-26 04:00:00	183.629	93.700	0.000	4.755	0.121	0.065	1.05e-2	-0.7276641318155899	DemandCharge	71.076	164.776	2080.000	-154.359
2017-10-26 04:30:00	165.449	148.008	0.000	4.806	0.136	0.078	1.05e-2	-0.7276641318155899	DemandCharge	18.530	166.539	2002.820	76.388
2017-10-26 05:00:00	173.777	125.942	0.231	4.847	0.129	0.072	1.05e-2	-0.7276641318155899	DemandCharge	42.231	167.942	2041.014	-30.904
2017-10-26 05:30:00	160.533	153.744	1.682	4.876	0.124	0.067	1.05e-2	-0.7276641318155899	DemandCharge	16.899	168.962	2025.562	78.130
2017-10-26 06:00:00	194.710	139.785	3.708	4.894	0.114	0.059	1.05e-2	-0.7276641318155899	DemandCharge	33.503	169.581	2064.627	30.745
2017-10-26 06:30:00	197.114	118.260	12.998	4.900	0.134	0.076	1.05e-2	-0.6428110978857999	DemandCharge	44.727	149.989	2080.000	-22.049
2017-10-26 07:00:00	191.925	107.212	27.443	4.894	0.144	0.085	1.05e-2	-0.6428110978857999	DemandCharge	70.036	149.806	2068.976	-150.832
2017-10-26 07:30:00	220.704	103.479	24.731	4.876	0.153	0.092	1.05e-2	-0.6428110978857999	DemandCharge	70.511	149.259	1993.559	-123.119
2017-10-26 08:00:00	192.690	143.595	56.307	4.847	0.157	0.096	1.05e-2	-0.6428110978857999	DemandCharge	61.070	148.358	1932.000	-103.297
2017-10-26 08:30:00	228.618	99.803	53.793	4.806	0.142	0.083	1.05e-2	-0.6428110978857999	DemandCharge	101.108	147.119	1880.351	-257.330
2017-10-26 09:00:00	196.668	145.067	86.188	4.755	0.129	0.072	1.05e-2	-0.6428110978857999	DemandCharge	86.683	145.561	1751.686	-215.539
2017-10-26 09:30:00	274.952	116.693	144.232	4.695	0.128	0.071	1.05e-2	-0.6428110978857999	DemandCharge	143.761	116.222	1643.917	-400.000
2017-10-26 10:00:00	241.887	140.135	109.609	4.626	0.127	0.070	1.05e-2	-0.6428110978857999	DemandCharge	111.081	141.606	1443.917	-271.987
2017-10-26 10:30:00	269.121	117.802	125.983	4.550	0.132	0.074	1.05e-2	-0.6428110978857999	DemandCharge	147.060	138.879	1307.923	-400.000
2017-10-26 11:00:00	325.173	114.194	204.280	4.468	0.142	0.083	1.05e-2	-0.6428110978857999	DemandCharge	155.000	64.915	1107.923	-367.348
2017-10-26 11:30:00	327.716	114.070	262.606	4.381	0.133	0.076	1.05e-2	-0.6428110978857999	DemandCharge	155.000	6.464	924.249	-351.366
2017-10-26 12:00:00	258.146	155.462	261.789	4.291	0.142	0.083	1.05e-2	-0.6428110978857999	DemandCharge	153.365	47.038	748.566	-400.000
2017-10-26 12:30:00	416.904	111.921	249.758	4.200	0.124	0.067	1.05e-2	-0.6428110978857999	DemandCharge	155.000	17.163	548.566	-234.096
2017-10-26 13:00:00	354.350	127.982	241.091	4.109	0.144	0.085	2.047941176470588e-2	-0.6428110978857999	DemandCharge	155.000	41.891	431.518	-282.488
2017-10-26 13:30:00	386.197	123.135	229.189	4.019	0.150	0.090	2.047941176470588e-2	-0.6428110978857999	DemandCharge	155.000	48.946	290.274	-236.721
2017-10-26 14:00:00	323.706	123.544	213.078	3.932	0.140	0.081	2.047941176470588e-2	-0.6428110978857999	DemandCharge	151.244	61.711	171.913	-271.006
2017-10-26 14:30:00	429.239	123.610	193.593	3.850	0.124	0.067	2.047941176470588e-2	-0.6428110978857999	DemandCharge	130.405	60.422	36.410	-72.821
2017-10-26 15:00:00	411.520	165.156	170.793	3.774	0.126	0.069	2.047941176470588e-2	-0.7194120884975976	DemandCharge	71.922	66.285	0.000	140.097
2017-10-26 15:30:00	462.630	143.235	147.692	3.705	0.127	0.070	2.047941176470588e-2	-0.7194120884975976	DemandCharge	69.534	65.076	70.048	205.006
2017-10-26 16:00:00	462.745	164.251	108.252	3.645	0.126	0.070	2.047941176470588e-2	-0.7194120884975976	DemandCharge	17.216	73.215	172.551	400.000
2017-10-26 16:30:00	429.117	177.740	94.359	3.594	0.111	0.056	2.047941176470588e-2	-0.7194120884975976	DemandCharge	8.102	91.483	372.551	400.000
2017-10-26 17:00:00	361.566	192.114	64.665	3.553	0.113	0.058	2.047941176470588e-2	-0.7194120884975976	DemandCharge	0.000	127.449	572.551	361.566
2017-10-26 17:30:00	457.593	166.560	37.462	3.524	0.114	0.059	2.047941176470588e-2	-0.7194120884975976	DemandCharge	16.344	145.441	753.334	400.000
2017-10-26 18:00:00	328.733	160.676	13.158	3.506	0.121	0.065	2.047941176470588e-2	-0.7194120884975976	DemandCharge	0.000	147.518	953.334	328.733
2017-10-26 18:30:00	277.086	186.428	1.176	3.500	0.119	0.063	2.047941176470588e-2	-0.7194120884975976	DemandCharge	0.000	185.252	1117.701	277.086
2017-10-26 19:00:00	286.123	166.104	0.000	3.506	0.125	0.068	2.047941176470588e-2	-0.7194120884975976	DemandCharge	0.000	166.104	1256.244	286.123
2017-10-26 19:30:00	291.152	168.306	0.000	3.524	0.126	0.069	2.047941176470588e-2	-0.7194120884975976	DemandCharge	0.000	168.306	1399.305	291.152
2017-10-26 20:00:00	203.185	129.107	0.000	3.553	0.120	0.064	2.047941176470588e-2	-0.7194120884975976	DemandCharge	0.000	129.107	1544.881	203.185
2017-10-26 20:30:00	136.726	150.595	0.000	3.594	0.106	0.052	2.047941176470588e-2	-0.7194120884975976	DemandCharge	0.000	150.595	1646.474	136.726
2017-10-26 21:00:00	161.041	159.502	0.000	3.645	0.108	0.054	2.047941176470588e-2	-0.7194120884975976	DemandCharge	0.000	159.502	1714.837	161.041
2017-10-26 21:30:00	142.209	105.801	0.000	3.705	0.094	0.042	1.05e-2	-0.7194120884975976	DemandCharge	21.125	126.926	1795.357	63.942
2017-10-26 22:00:00	218.215	110.167	0.000	3.774	0.078	0.028	1.05e-2	-0.7194120884975976	DemandCharge	19.117	129.284	1827.328	146.070
2017-10-26 22:30:00	183.239	116.327	0.000	3.850	0.099	0.046	1.05e-2	-0.7194120884975976	DemandCharge	15.565	131.892	1900.363	123.313
2017-10-26 23:00:00	95.611	122.583	0.000	3.932	0.093	0.041	1.05e-2	-0.7194120884975976	DemandCharge	12.122	134.706	1962.020	47.945
2017-10-26 23:30:00	120.412	142.895	0.000	4.019	0.108	0.054	1.05e-2	-0.7194120884975976	DemandCharge	0.000	142.895	1985.992	120.412
2017-10-27 00:00:00	55.199	137.155	0.000	4.109	0.121	0.065	1.05e-2	-0.7194120884975976	DemandCharge	3.598	140.752	2046.198	40.418
2017-10-27 00:30:00	83.051	117.527	0.000	4.200	0.115	0.060	1.05e-2	-0.7194120884975976	DemandCharge	26.355	143.882	2066.407	-27.640
2017-10-27 01:00:00	110.557	110.845	0.000	4.291	0.112	0.057	1.05e-2	-0.7194120884975976	DemandCharge	36.168	147.012	2052.587	-44.651
2017-10-27 01:30:00	108.986	105.661	0.000	4.381	0.111	0.057	1.05e-2	-0.7194120884975976	DemandCharge	44.428	150.089	2030.261	-85.660
2017-10-27 02:00:00	127.624	72.823	0.000	4.468	0.103	0.050	1.05e-2	-0.7194120884975976	DemandCharge	80.236	153.059	1987.431	-230.862
2017-10-27 02:30:00	109.298	143.745	0.000	4.550	0.102	0.049	1.05e-2	-0.7194120884975976	Solar	0.000	143.745	1872.000	109.298
