,clear_sky,transmissivity,GHI_pred,GHI_observed,mean_model
2018-01-01 00:00:00,0.0,0.0,0.0,0.0,298.8948810568155
2018-01-01 00:30:00,0.0,0.0,0.0,0.0,298.8948810568155
2018-01-01 01:00:00,0.0,0.0,0.0,0.0,298.8948810568155
2018-01-01 01:30:00,0.0,0.0,0.0,0.0,298.8948810568155
2018-01-01 02:00:00,0.0,0.0,0.0,0.0,298.8948810568155
2018-01-01 02:30:00,0.0,0.0,0.0,0.0,298.8948810568155
2018-01-01 03:00:00,0.0,0.0,0.0,0.0,298.8948810568155
2018-01-01 03:30:00,0.0,0.0,0.0,0.0,298.8948810568155
2018-01-01 04:00:00,0.0,0.0,0.0,0.0,298.8948810568155
2018-01-01 04:30:00,0.0,0.0,0.0,0.07166666666666668,298.8948810568155
2018-01-01 05:00:00,0.0,0.0,0.0,5.642333333333332,298.8948810568155
2018-01-01 05:30:00,51.90254145646944,1.025160499645982,53.20843533241051,23.25333333333333,298.8948810568155
2018-01-01 06:00:00,171.09106479821475,0.9858291647671564,168.66656150914747,48.721999999999994,298.8948810568155
2018-01-01 06:30:00,290.91201042408346,0.9643369604154699,280.5372038807141,75.86466666666666,298.8948810568155
2018-01-01 07:00:00,409.0839105653806,0.9503633800804657,388.77836798145006,95.61466666666666,298.8948810568155
2018-01-01 07:30:00,523.5860672465956,0.9401326510189205,492.24035743711266,170.558,298.8948810568155
2018-01-01 08:00:00,632.4605770034643,0.9320668226035134,589.4955204296037,471.6066666666667,298.8948810568155
2018-01-01 08:30:00,733.8457944776115,0.9253339935880907,679.0524596817935,611.3726666666668,298.8948810568155
2018-01-01 09:00:00,826.0081481327054,0.9193732184191126,759.4097695891764,666.678,298.8948810568155
2018-01-01 09:30:00,907.371764864158,0.9137472632232972,829.1084668707175,823.2476666666664,298.8948810568155
2018-01-01 10:00:00,976.5453983761238,0.9081033962338687,886.8041928419143,1017.8449999999997,298.8948810568155
2018-01-01 10:30:00,1032.3462021807597,0.9021675112578982,931.349203977959,1055.64,298.8948810568155
2018-01-01 11:00:00,1073.819941585893,0.8957461189736935,961.870045152122,1076.8436666666666,298.8948810568155
2018-01-01 11:30:00,1100.2573001679966,0.8887275918778494,977.8290208243278,1094.4996666666666,298.8948810568155
2018-01-01 12:00:00,1111.2060026025379,0.8810799466869548,979.0613255312682,1104.327,298.8948810568155
2018-01-01 12:30:00,1106.4785468286723,0.8728446204726916,965.7838472678478,1096.7666666666664,298.8948810568155
2018-01-01 13:00:00,1086.155413568238,0.8641265759042738,938.5757584266119,1073.9189999999999,298.8948810568155
2018-01-01 13:30:00,1050.5836980330262,0.8550814718581141,898.3346548242205,1037.689,298.8948810568155
2018-01-01 14:00:00,1000.371186706487,0.8459008302794802,846.2148174226862,987.4466666666667,298.8948810568155
2018-01-01 14:30:00,936.3759797196661,0.8367962099411477,783.5558709093456,923.9716666666666,298.8948810568155
2018-01-01 15:00:00,859.6918351156183,0.8279833958044907,711.810564984424,848.394,298.8948810568155
2018-01-01 15:30:00,771.6294846057448,0.819667544968093,632.4796452717858,757.7413333333333,298.8948810568155
2018-01-01 16:00:00,673.6942390632711,0.8120301087525843,547.0600062125376,658.0453333333332,298.8948810568155
2018-01-01 16:30:00,567.5602652806016,0.8052181875123088,457.00984811325117,552.975,298.8948810568155
2018-01-01 17:00:00,455.04197299355576,0.7993367833661575,363.7317869892588,443.2226666666668,298.8948810568155
2018-01-01 17:30:00,338.0630003693874,0.7944442098281166,268.5721932005803,329.96100000000007,298.8948810568155
2018-01-01 18:00:00,218.6233273763022,0.7905507097779216,172.83282663134662,218.53366666666668,298.8948810568155
2018-01-01 18:30:00,98.76507932451044,0.7876201369432851,77.78936530278533,114.18433333333331,298.8948810568155
2018-01-01 19:00:00,6.509702586808287,0.7855743821043126,5.113855587314766,32.091,298.8948810568155
2018-01-01 19:30:00,0.0,0.7843000825027984,0.0,2.2976666666666667,298.8948810568155
2018-01-01 20:00:00,0.0,0.7836570478686806,0.0,0.0,298.8948810568155
2018-01-01 20:30:00,0.0,0.7834877727749214,0.0,0.0,298.8948810568155
2018-01-01 21:00:00,0.0,0.7836273836647991,0.0,0.0,298.8948810568155
2018-01-01 21:30:00,0.0,0.7839133882115634,0.0,0.0,298.8948810568155
2018-01-01 22:00:00,0.0,0.7841946506850981,0.0,0.0,298.8948810568155
2018-01-01 22:30:00,0.0,0.7843391037969327,0.0,0.0,298.8948810568155
2018-01-01 23:00:00,0.0,0.7842398177148757,0.0,0.0,298.8948810568155
2018-01-01 23:30:00,0.0,0.7838191723238477,0.0,0.0,298.8948810568155
2018-01-02 00:00:00,0.0,0.7830310107626142,0.0,0.0,298.8948810568155
2018-01-02 00:30:00,0.0,0.7818607823907888,0.0,0.0,298.8948810568155
2018-01-02 01:00:00,0.0,0.7803238039330824,0.0,0.0,298.8948810568155
2018-01-02 01:30:00,0.0,0.7784618720129157,0.0,0.0,298.8948810568155
2018-01-02 02:00:00,0.0,0.7763385434580286,0.0,0.0,298.8948810568155
2018-01-02 02:30:00,0.0,0.7740334581095571,0.0,0.0,298.8948810568155
2018-01-02 03:00:00,0.0,0.7716361106047311,0.0,0.0,298.8948810568155
2018-01-02 03:30:00,0.0,0.7692394826689266,0.0,0.0,298.8948810568155
2018-01-02 04:00:00,0.0,0.7669339273919706,0.0,0.0,298.8948810568155
2018-01-02 04:30:00,0.0,0.764801654727806,0.0,0.165,298.8948810568155
2018-01-02 05:00:00,0.0,0.7629121071270901,0.0,2.990666666666667,298.8948810568155
2018-01-02 05:30:00,49.54535581854613,0.7613184406758902,37.71979303450768,33.410333333333334,298.8948810568155
2018-01-02 06:00:00,168.53892811483686,0.7600552457129064,128.0988964205122,52.79933333333334,298.8948810568155
2018-01-02 06:30:00,288.3685165372359,0.7591375570776744,218.9113711821902,181.3433333333333,298.8948810568155
2018-01-02 07:00:00,406.5808403418751,0.7585611231157547,308.41641888708017,150.877,298.8948810568155
2018-01-02 07:30:00,521.1544709841702,0.758303829016906,395.19343085657624,180.57000000000002,298.8948810568155
2018-01-02 08:00:00,630.130244098485,0.7583281078965833,477.84547573561633,190.3946666666667,298.8948810568155
2018-01-02 08:30:00,731.6447449661424,0.7585841252014118,555.0140888183512,419.396,298.8948810568155
2018-01-02 09:00:00,823.9621547734372,0.7590134904094816,625.398391059904,546.4789999999999,298.8948810568155
2018-01-02 09:30:00,905.5039139014812,0.7595532353834513,687.7784274562482,527.3573333333335,298.8948810568155
2018-01-02 10:00:00,974.8756964553141,0.7601398008186773,741.0418177265118,743.49,298.8948810568155
2018-01-02 10:30:00,1030.8912360949366,0.7607127897259931,784.2121481138566,970.9136666666668,298.8948810568155
2018-01-02 11:00:00,1072.5925966284512,0.7612182776768872,816.4770890544899,1020.5283333333334,298.8948810568155
2018-01-02 11:30:00,1099.2665418619324,0.7616115108426076,837.2140517661949,1106.1353333333334,298.8948810568155
2018-01-02 12:00:00,1110.4567254960991,0.7618588714628127,846.0113076947486,1120.1059999999998,298.8948810568155
2018-01-02 12:30:00,1105.9714929017705,0.7619390428521888,842.6828607233814,1070.1666666666665,298.8948810568155
2018-01-02 13:00:00,1085.8871616074737,0.7618433589686715,827.2759226599944,1082.9386666666664,298.8948810568155
2018-01-02 13:30:00,1050.5467241243969,0.7615753737093858,800.0705140242086,1040.5656666666669,298.8948810568155
2018-01-02 14:00:00,1000.5539947828328,0.7611497296449683,761.5714026241462,994.1903333333333,298.8948810568155
2018-01-02 14:30:00,936.763299906997,0.7605904425573251,712.493212847723,925.1046666666667,298.8948810568155
2018-01-02 15:00:00,860.2648864682283,0.7599287452517949,653.7400157579785,837.1596666666666,298.8948810568155
2018-01-02 15:30:00,772.3662977223463,0.7592006507035389,586.3809958122886,703.0336666666667,298.8948810568155
2018-01-02 16:00:00,674.5700330558496,0.7584444004013402,511.62386424975614,648.9783333333332,298.8948810568155
2018-01-02 16:30:00,568.5478726421139,0.7576979591691602,430.7875627908973,556.8696666666667,298.8948810568155
2018-01-02 17:00:00,456.11230509215255,0.7569967037734218,345.27551150525676,446.1766666666667,298.8948810568155
2018-01-02 17:30:00,339.18554560369176,0.756371430754649,256.5502564195606,325.0123333333334,298.8948810568155
2018-01-02 18:00:00,219.76667346898878,0.7558467810200369,166.1099327170167,211.50899999999996,298.8948810568155
2018-01-02 18:30:00,99.89745081713714,0.7554401468967198,75.46654491990593,56.10666666666666,298.8948810568155
2018-01-02 19:00:00,6.8792444457667665,0.7551610937630859,5.194937759928865,18.09466666666667,298.8948810568155
2018-01-02 19:30:00,0.0,0.7550112951897674,0.0,2.258666666666667,298.8948810568155
2018-01-02 20:00:00,0.0,0.7549849497026526,0.0,0.0,298.8948810568155
2018-01-02 20:30:00,0.0,0.7550696205180578,0.0,0.0,298.8948810568155
2018-01-02 21:00:00,0.0,0.7552474182242026,0.0,0.0,298.8948810568155
2018-01-02 21:30:00,0.0,0.7554964313060941,0.0,0.0,298.8948810568155
2018-01-02 22:00:00,0.0,0.7557923011031427,0.0,0.0,298.8948810568155
2018-01-02 22:30:00,0.0,0.7561098362805834,0.0,0.0,298.8948810568155
2018-01-02 23:00:00,0.0,0.756424566806017,0.0,0.0,298.8948810568155
2018-01-02 23:30:00,0.0,0.7567141480102046,0.0,0.0,298.8948810568155
2018-01-03 00:00:00,0.0,0.7569595405454916,0.0,0.0,298.8948810568155
2018-01-03 00:30:00,0.0,0.7571459106966372,0.0,0.0,298.8948810568155
2018-01-03 01:00:00,0.0,0.7572632161890747,0.0,0.0,298.8948810568155
2018-01-03 01:30:00,0.0,0.7573064639913709,0.0,0.0,298.8948810568155
2018-01-03 02:00:00,0.0,0.7572756472909923,0.0,0.0,298.8948810568155
2018-01-03 02:30:00,0.0,0.7571753876371723,0.0,0.0,298.8948810568155
2018-01-03 03:00:00,0.0,0.7570143241890124,0.0,0.0,298.8948810568155
2018-01-03 03:30:00,0.0,0.7568043043205679,0.0,0.0,298.8948810568155
2018-01-03 04:00:00,0.0,0.7565594380284733,0.0,0.0,298.8948810568155
2018-01-03 04:30:00,0.0,0.7562950824544312,0.0,0.0,298.8948810568155
2018-01-03 05:00:00,0.0,0.7560268224422171,0.0,5.532333333333332,298.8948810568155
2018-01-03 05:30:00,47.23107794405862,0.7557695087159584,35.69580857390632,24.97433333333333,298.8948810568155
2018-01-03 06:00:00,165.94617757654817,0.7555364075275586,125.37837884911549,78.54633333333335,298.8948810568155
2018-01-03 06:30:00,285.7838384443925,0.7553385051783705,215.86353733472436,156.17200000000003,298.8948810568155
2018-01-03 07:00:00,404.0356282131573,0.7551839984897155,305.12124124631623,233.68566666666672,298.8948810568155
2018-01-03 07:30:00,518.6794029918177,0.7550779889516905,391.6434005217252,218.57766666666666,298.8948810568155
2018-01-03 08:00:00,627.7547591213389,0.7550223847934818,473.96889529725104,296.94933333333336,298.8948810568155
2018-01-03 08:30:00,729.3965401671164,0.7550160024125547,550.7060599305247,486.95199999999994,298.8948810568155
2018-01-03 09:00:00,821.8667132655197,0.7550548471981071,620.5544456019074,546.9036666666666,298.8948810568155
2018-01-03 09:30:00,903.5840705445509,0.7551325443748418,682.3257382468832,851.5553333333334,298.8948810568155
2018-01-03 10:00:00,973.1512491682894,0.7552408835044575,734.9636092053254,902.2516666666667,298.8948810568155
2018-01-03 10:30:00,1029.3786092864032,0.7553704359668842,777.5621688716553,1011.8243333333334,298.8948810568155
2018-01-03 11:00:00,1071.3045624542162,0.7555112031754148,809.3825989470962,1048.7906666666665,298.8948810568155
2018-01-03 11:30:00,1098.2120040292582,0.7556532543632044,829.8674748254455,1070.5583333333336,298.8948810568155
2018-01-03 12:00:00,1109.6405692659257,0.7557873162639543,838.6522678631005,1081.875,298.8948810568155
2018-01-03 12:30:00,1105.3945038099162,0.7559052825205204,835.5735446990651,1077.4973333333335,298.8948810568155
2018-01-03 13:00:00,1085.5460142543923,0.7560006177194709,820.6734573392301,1054.5916666666667,298.8948810568155
2018-01-03 13:30:00,1050.434041189604,0.7560686390343079,794.2002359175319,1018.5496666666667,298.8948810568155
2018-01-03 14:00:00,1000.6584752231902,0.7561066670078043,756.6045445141178,967.6793333333331,298.8948810568155
2018-01-03 14:30:00,937.069914120275,0.7561140454681343,708.5317236519584,904.8250000000002,298.8948810568155
2018-01-03 15:00:00,860.7551350631873,0.7560920384505805,650.81010467673,828.1393333333334,298.8948810568155
2018-01-03 15:30:00,773.0185294528513,0.7560436188532633,584.4357264481616,741.2586666666668,298.8948810568155
2018-01-03 16:00:00,675.3598164685587,0.7559731690497351,510.55390070458384,644.5223333333332,298.8948810568155
2018-01-03 16:30:00,569.4484150721609,0.755886117577256,430.43815162941746,543.1726666666667,298.8948810568155
2018-01-03 17:00:00,457.0949118335073,0.7557885381936025,345.4670952303801,435.1043333333333,298.8948810568155
2018-01-03 17:30:00,340.2201113957275,0.7556867380359922,257.0998261948792,324.9099999999999,298.8948810568155
2018-01-03 18:00:00,220.82219788864998,0.7555868604169103,166.8503512130467,215.18966666666668,298.8948810568155
2018-01-03 18:30:00,100.9425687582941,0.7554945251392191,76.26155805038037,114.34866666666669,298.8948810568155
2018-01-03 19:00:00,7.221912528725227,0.7554145253674225,5.455537625132009,34.60166666666667,298.8948810568155
2018-01-03 19:30:00,0.0,0.0,0.0,3.847666666666667,298.8948810568155
2018-01-03 20:00:00,0.0,0.0,0.0,0.036333333333333336,298.8948810568155
2018-01-03 20:30:00,0.0,0.0,0.0,0.0,298.8948810568155
2018-01-03 21:00:00,0.0,0.0,0.0,0.0,298.8948810568155
2018-01-03 21:30:00,0.0,0.0,0.0,0.0,298.8948810568155
2018-01-03 22:00:00,0.0,0.0,0.0,0.0,298.8948810568155
2018-01-03 22:30:00,0.0,0.0,0.0,0.0,298.8948810568155
2018-01-03 23:00:00,0.0,0.0,0.0,0.0,298.8948810568155
2018-01-03 23:30:00,0.0,0.0,0.0,0.0,298.8948810568155
